Name,Sex,Age,Height1,Weight1,Height2,Weight2,BMI,Team,Year,Season,City,Event,Medal
Sara Studebaker (-Hall),F,25,168,59.89,66.1416,131.758,21.21952948,USA,2010,Winter,Vancouver,Biathlon Women's 7.5 kilometres Sprint,None
Serge Proulx,M,23,173,66.45,68.1101,146.19,22.20254603,CAN,1976,Summer,Montreal,Cycling Men's 100 kilometres Team Time Trial,None
Shani Earl Davis,M,27,188,86.82,74.0156,191.004,24.56428248,USA,2010,Winter,Vancouver,Speed Skating Men's 500 metres,None
Shannon Colleen Rempel,F,25,173,70.87,68.1101,155.914,23.67937452,CAN,2010,Winter,Vancouver,Speed Skating Women's 500 metres,None
Shannon Smith,F,14,174,64.5,68.5038,141.9,21.30400317,CAN,1976,Summer,Montreal,Swimming Women's 400 metres Freestyle,Bronze
Sheila Rena Ingram,F,19,161,52.58,63.3857,115.676,20.28471124,USA,1976,Summer,Montreal,Athletics Women's 400 metres,None
Shelley Rhead-Skarvan,F,22,167,59.62,65.7479,131.164,21.37760407,CAN,1988,Winter,Calgary,Speed Skating Women's 500 metres,None
Shirley Frances Babashoff,F,19,178,68.46,70.0786,150.612,21.60712031,USA,1976,Summer,Montreal,Swimming Women's 100 metres Freestyle,None
"Simeon ""Simi"" Hamilton",M,22,180,79.36,70.866,174.592,24.49382716,USA,2010,Winter,Vancouver,Cross Country Skiing Men's 15 kilometres,None
Simon Cho,M,18,183,68.84,72.0471,151.448,20.55600346,USA,2010,Winter,Vancouver,Short Track Speed Skating Men's 500 metres,None
"Stephen ""Steve"" King",M,23,180,72.55,70.866,159.61,22.39197531,CAN,1976,Summer,Montreal,"Canoeing Men's Kayak Doubles, 500 metres",None
Stephen Paul Kelly,M,25,186,75.51,73.2282,166.122,21.82622268,USA,1976,Summer,Montreal,"Canoeing Men's Kayak Fours, 1,000 metres",None
"Steven Charles ""Steve"" Furniss",M,23,193,81.04,75.9841,178.288,21.75628876,USA,1976,Summer,Montreal,Swimming Men's 400 metres Individual Medley,None
"Steven Earl ""Steve"" Riddick",M,24,190,76.29,74.803,167.838,21.13296399,USA,1976,Summer,Montreal,Athletics Men's 100 metres,None
"Steven Garrett ""Steve"" Gregg",M,20,193,85.34,75.9841,187.748,22.91068217,USA,1976,Summer,Montreal,Swimming Men's 200 metres Butterfly,Silver
Steven Thomas Kelly,M,23,188,63.57,74.0156,139.854,17.98607967,CAN,1976,Summer,Montreal,"Shooting Mixed Rapid-Fire Pistol, 25 metres",None
"Susan Elaine ""Sue"" Bradley-Kameli",F,19,167,57.11,65.7479,125.642,20.47760766,CAN,1976,Summer,Montreal,Athletics Women's 100 metres Hurdles,None
"Susan Estelle Sloan (-Smith, -Kelsey)",F,18,171,61.03,67.3227,134.266,20.87137923,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Butterfly,None
Tania Vicent,F,34,168,60.25,66.1416,132.55,21.3470805,CAN,2010,Winter,Vancouver,"Short Track Speed Skating Women's 1,000 metres",None
"Tauna Kay Vandeweghe (-Mullarkey, -Oshea)",F,16,186,69.67,73.2282,153.274,20.13816626,USA,1976,Summer,Montreal,Swimming Women's 100 metres Backstroke,None
Thelma Sonia Wright (Fynn-),F,24,153,48.87,60.2361,107.514,20.87658593,CAN,1976,Summer,Montreal,"Athletics Women's 1,500 metres",None
"Thomas ""Tom"" Guinn",M,31,170,79.44,66.929,174.768,27.48788927,CAN,1976,Summer,Montreal,"Shooting Mixed Free Pistol, 50 metres",None
"Thomas ""Tom"" Morris",M,31,175,75.92,68.8975,167.024,24.79020408,CAN,1976,Summer,Montreal,Cycling Men's 100 kilometres Team Time Trial,None
"Thomas Nicholas ""Tom"" Treinen",M,33,183,68.99,72.0471,151.778,20.60079429,USA,1976,Summer,Montreal,"Shooting Mixed Rapid-Fire Pistol, 25 metres",None
"Thomas Preston ""Tom"" Cushman",M,23,183,76.28,72.0471,167.816,22.77762848,USA,1988,Winter,Calgary,"Speed Skating Men's 1,000 metres",None
"Timothy Andrew ""Tim"" Shaw",M,18,188,89.88,74.0156,197.736,25.43005885,USA,1976,Summer,Montreal,Swimming Men's 400 metres Freestyle,Silver
"Timothy John ""Tim"" Burke",M,28,180,73.97,70.866,162.734,22.83024691,USA,2010,Winter,Vancouver,Biathlon Men's 10 kilometres Sprint,None
Todd Roger Boonstra,M,25,180,75.54,70.866,166.188,23.31481481,USA,1988,Winter,Calgary,Cross Country Skiing Men's 15 kilometres,None
Torin Christian Koos,M,29,188,85.42,74.0156,187.924,24.16817565,USA,2010,Winter,Vancouver,Cross Country Skiing Men's 4 x 10 kilometres Relay,None
Travis Jayner,M,27,185,76.09,72.8345,167.398,22.23228634,USA,2010,Winter,Vancouver,"Short Track Speed Skating Men's 1,000 metres",None
Trevor Marsicano,M,20,172,76.33,67.7164,167.926,25.80110871,USA,2010,Winter,Vancouver,"Speed Skating Men's 1,000 metres",None
Tucker Daniel Fredricks,M,25,170,67.23,66.929,147.906,23.26297578,USA,2010,Winter,Vancouver,Speed Skating Men's 500 metres,None
Valrie Maltais,F,19,165,62.94,64.9605,138.468,23.1184573,CAN,2010,Winter,Vancouver,"Short Track Speed Skating Women's 1,500 metres",None
"Victor Lee ""Vic"" Auer",M,39,175,74.08,68.8975,162.976,24.18938776,USA,1976,Summer,Montreal,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",None
Wayne Douglas Stetina,M,22,183,77.19,72.0471,169.818,23.04935949,USA,1976,Summer,Montreal,Cycling Men's 100 kilometres Team Time Trial,None
Wayne Dustin,M,22,187,81.83,73.6219,180.026,23.40072636,CAN,1988,Winter,Calgary,Cross Country Skiing Men's 30 kilometres,None
Wendy Carol Koenig-Knudson,F,21,172,55.8,67.7164,122.76,18.86154678,USA,1976,Summer,Montreal,Athletics Women's 800 metres,None
Wendy Elizabeth Cook-Hogg,F,19,175,64.48,68.8975,141.856,21.05469388,CAN,1976,Summer,Montreal,Swimming Women's 100 metres Backstroke,None
Wendy Lee,F,15,172,60.55,67.7164,133.21,20.4671444,CAN,1976,Summer,Montreal,Swimming Women's 400 metres Freestyle,None
Wendy Lou Lansbach Boglioli,F,21,180,65.31,70.866,143.682,20.15740741,USA,1976,Summer,Montreal,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Wendy Quirk (-Johnson),F,17,173,64.46,68.1101,141.812,21.53763908,CAN,1976,Summer,Montreal,Swimming Women's 400 metres Freestyle,None
"Wendy Weinberg (-Farber, -Weil)",F,18,168,58.34,66.1416,128.348,20.67035147,USA,1976,Summer,Montreal,Swimming Women's 800 metres Freestyle,Bronze
"Wilbur D. ""Willie"" Davenport",M,33,186,85.01,73.2282,187.022,24.57220488,USA,1976,Summer,Montreal,Athletics Men's 110 metres Hurdles,Bronze
"William Kellogg ""Bill"" Carow",M,29,180,68.54,70.866,150.788,21.15432099,USA,1988,Winter,Calgary,Biathlon Men's 10 kilometres Sprint,None
"William Ronald ""Bill"" Forrester, Jr.",M,18,180,79.61,70.866,175.142,24.57098765,USA,1976,Summer,Montreal,Swimming Men's 200 metres Butterfly,Bronze
"William Willard ""Bill"" McMillan",M,47,183,92.12,72.0471,202.664,27.50753979,USA,1976,Summer,Montreal,"Shooting Mixed Rapid-Fire Pistol, 25 metres",None
Wynn Andrew  Roberts,M,21,185,82.98,72.8345,182.556,24.24543462,USA,2010,Winter,Vancouver,Biathlon Men's 20 kilometres,None
Yves Bilodeau,M,26,170,66.08,66.929,145.376,22.8650519,CAN,1988,Winter,Calgary,Cross Country Skiing Men's 15 kilometres,None
Yvonne Saunders (-Mondesire),F,24,165,54.42,64.9605,119.724,19.98898072,CAN,1976,Summer,Montreal,Athletics Women's 800 metres,None
Zina Kocher,F,27,170,61.08,66.929,134.376,21.1349481,CAN,2010,Winter,Vancouver,Biathlon Women's 7.5 kilometres Sprint,None
