Name,Sex,Age,Height1,Weight1,Height2,Weight2,BMI,Team,Year,Season,City,Event,Medal
Katherine Reutter,F,21,170,61.2,66.929,134.64,21.17647059,USA,2010,Winter,Vancouver,Short Track Speed Skating Women's 500 metres,None
"Kathleen Stella ""Kathy"" Weston (-Blom)",F,18,170,59.08,66.929,129.976,20.44290657,USA,1976,Summer,Montreal,Athletics Women's 800 metres,None
"Kathryn Helen ""Katie"" Class (-Marquard)",F,24,165,63.12,64.9605,138.864,23.184573,USA,1988,Winter,Calgary,Speed Skating Women's 500 metres,None
"Kathryn Jean ""Kathy"" Heddy (-Silver, -Drum)",F,18,168,62.39,66.1416,137.258,22.10530045,USA,1976,Summer,Montreal,Swimming Women's 400 metres Freestyle,None
Kathy Gordon,F,20,173,66.79,68.1101,146.938,22.31614822,CAN,1988,Winter,Calgary,"Speed Skating Women's 5,000 metres",None
"Keith Cawthon ""Casey"" Converse",M,18,186,63,73.2282,138.6,18.21019771,USA,1976,Summer,Montreal,Swimming Men's 400 metres Freestyle,None
"Keith James ""Nick"" Thometz",M,24,175,77.01,68.8975,169.422,25.14612245,USA,1988,Winter,Calgary,Speed Skating Men's 500 metres,None
"Kenneth ""Ken"" Karpoff",M,32,178,75.66,70.0786,166.452,23.87956066,CAN,1988,Winter,Calgary,Biathlon Men's 10 kilometres Sprint,None
Kikkan Lewis Randall (-Ellis),F,27,165,60.21,64.9605,132.462,22.11570248,USA,2010,Winter,Vancouver,Cross Country Skiing Women's 30 kilometres,None
"Kimberley Marie ""Kim"" Peyton (-McDonald)",F,19,178,65.2,70.0786,143.44,20.57820982,USA,1976,Summer,Montreal,Swimming Women's 100 metres Freestyle,None
Kimberly Derrick,F,24,165,56.9,64.9605,125.18,20.89990817,USA,2010,Winter,Vancouver,"Short Track Speed Skating Women's 1,000 metres",None
Kris Freeman,M,29,180,79.85,70.866,175.67,24.64506173,USA,2010,Winter,Vancouver,Cross Country Skiing Men's 15 kilometres,None
Kristen Michele Talbot (-Peck),F,17,160,63.22,62.992,139.084,24.6953125,USA,1988,Winter,Calgary,Speed Skating Women's 500 metres,None
Kristina Nicole Groves,F,33,175,66.77,68.8975,146.894,21.80244898,CAN,2010,Winter,Vancouver,"Speed Skating Women's 1,000 metres",None
Kurt Davison Mitchell,M,24,178,62.97,70.0786,138.534,19.87438455,CAN,1976,Summer,Montreal,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",None
Kyle Parrott (Turgeon-),M,24,185,86.62,72.8345,190.564,25.30898466,CAN,2010,Winter,Vancouver,Speed Skating Men's 500 metres,None
Lana Gehring,F,19,175,62.01,68.8975,136.422,20.24816327,USA,2010,Winter,Vancouver,"Short Track Speed Skating Women's 3,000 metres Relay",Bronze
Lanny L. Barnes,F,27,163,50.39,64.1731,110.858,18.96571192,USA,2010,Winter,Vancouver,Biathlon Women's 7.5 kilometres Sprint,None
Lanny Robert Bassham,M,29,175,73.6,68.8975,161.92,24.03265306,USA,1976,Summer,Montreal,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Gold
"Laura Gail ""Lauri"" Siering",F,19,163,57.3,64.1731,126.06,21.56648726,USA,1976,Summer,Montreal,Swimming Women's 100 metres Breaststroke,None
Laura Spector,F,22,152,51.36,59.8424,112.992,22.2299169,USA,2010,Winter,Vancouver,Biathlon Women's 7.5 kilometres Sprint,None
Lauren Myrtie Cholewinski,F,21,173,69.37,68.1101,152.614,23.17818838,USA,2010,Winter,Vancouver,Speed Skating Women's 500 metres,None
"Lawrence Alexander ""Larry"" Walker",M,33,188,77.07,74.0156,169.554,21.8056813,USA,1976,Summer,Montreal,Athletics Men's 20 kilometres Walk,None
"Lawrence Robert ""Larry"" Dowler",M,22,191,81.42,75.1967,179.124,22.31846715,USA,1976,Summer,Montreal,Swimming Men's 100 metres Breaststroke,None
Leighton Hope,M,23,190,76.06,74.803,167.332,21.06925208,CAN,1976,Summer,Montreal,Athletics Men's 4 x 400 metres Relay,None
